"SPECIES","R301","R302","R303","R304","R305","R306","R307","R308","R309","R310"
"Platanthera clavellata",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Pogonia ophioglossoides",1,NA,NA,NA,NA,3,2,NA,NA,NA
"Potamogeton oakesianus",NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"Rhododendron canadense",1,4,2,NA,NA,2,NA,NA,1,5
"Rhynchospora alba",5,NA,5,NA,NA,5,5,NA,NA,NA
"Rhynchospora fusca",NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Rosa nitida",NA,NA,NA,NA,NA,2,NA,2,NA,NA
"Rubus hispidus",NA,2,NA,NA,1,4,NA,NA,NA,NA
"Rubus idaeus",NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Sarracenia purpurea",4,1,5,NA,NA,5,5,NA,5,5
"Solidago uliginosa",NA,NA,5,NA,NA,5,1,1,NA,NA
"Sorbus americana",NA,1,NA,NA,NA,NA,NA,NA,1,NA
"Sparganium americanum",NA,NA,NA,4,NA,NA,NA,1,NA,NA
"Sparganium emersum",NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"Spiraea alba",1,NA,NA,4,5,2,NA,5,NA,1
"Spiraea tomentosa",1,NA,NA,NA,5,NA,NA,1,NA,NA
"Symplocarpus foetidus",NA,NA,1,NA,NA,NA,2,NA,NA,NA
"Thelypteris palustris",NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"Thuja occidentalis",NA,5,NA,NA,2,NA,4,1,5,5
"Triadenum virginicum",2,NA,NA,1,5,2,NA,3,NA,NA
"Trichophorum cespitosum",NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Trientalis borealis",NA,5,2,NA,NA,NA,NA,NA,5,4
"Tsuga canadensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Typha latifolia",NA,NA,NA,2,2,NA,NA,NA,NA,NA
"Utricularia cornuta",2,NA,2,NA,NA,2,3,NA,NA,NA
"Utricularia gibba",NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Utricularia intermedia",NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"Utricularia purpurea",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uvularia sessilifolia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Vaccinium angustifolium",NA,5,1,NA,NA,NA,NA,NA,5,1
"Vaccinium corymbosum",NA,3,NA,NA,NA,NA,NA,NA,2,NA
"Vaccinium macrocarpon",4,1,NA,1,3,5,5,4,NA,NA
"Vaccinium myrtilloides",NA,1,NA,NA,NA,NA,NA,NA,1,NA
"Vaccinium oxycoccos",3,1,5,NA,NA,NA,5,NA,NA,5
"Vaccinium vitis-idaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Viburnum nudum",NA,4,2,NA,NA,NA,NA,NA,5,5
"Viola",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Xyris montana",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
